_id,sn,mda,purpose,state,lga,address,landmark,year_commissioned,valuation,lat,lng
asset_5e1f3d8a10,622,National Industrial Court Of Nigeria,Residential,Kano,Kano,"No.4, Hamza Abbdulahi Street, Farm Centre, Kano",Kano,Owned,,11.9939978,8.5219738
asset_ab5b34c52a,623,National Industrial Court Of Nigeria,Residential,Kano,Kano,"No.5, Hamza Abbdulahi Street, Farm Centre, Kano",Kano,Owned,,11.9939978,8.5219738
asset_831af23913,624,National Industrial Court Of Nigeria,Residential,Kano,Kano,"No.102, Masalaci Street, Parauni Farm Centre",Kano,Owned,,11.9939978,8.5219738
asset_0b930ea632,625,National Industrial Court Of Nigeria,Residential,Kano,Kano,"No.4, Lamido Terrace",Kano,Owned,,11.9939978,8.5219738
asset_0b85701220,626,National Industrial Court Of Nigeria,Residential,Kano,Kano,"No.5, Danbazau Street",Kano,Owned,,11.9939978,8.5219738
asset_ffa584aef4,627,National Industrial Court Of Nigeria,Residential,Gombe,Gombe,"Old GRA, Along GSADP Quarters Opposite Emerald Hotel Junction,",Gombe,Owned,,10.2822161,11.1629771
asset_bab7784778,628,National Industrial Court Of Nigeria,Residential,Gombe,Gombe,Along Gombe- Bauchi Road,Gombe,Owned,,10.2822161,11.1629771
asset_fae0d82b4b,629,National Industrial Court Of Nigeria,Residential,Ondo,Akure,"Alfred Kehinde Olalusi, Alagbaka",Akure,Owned,,7.2525595,5.1932647
asset_d24fe49e22,630,National Industrial Court Of Nigeria,Residential,Ondo,Akure,"Adekunle Ajasin Road, opposite Water Corporation Alagbaka",Akure,Owned,,7.2525595,5.1932647
asset_a7f9541977,631,National Industrial Court Of Nigeria,Residential,Ondo,Akure,"Along Igbatoro Road, Beside Health School",Akure,Owned,,7.2525595,5.1932647
asset_56119118bf,632,National Industrial Court Of Nigeria,Residential,Oyo,Ibadan,"No.57, Off Oba Adesina Road, Igayanku, GRA",Ibadan,Owned,,7.3786064,3.8969928
asset_d12e4c2364,633,National Industrial Court Of Nigeria,Residential,Kaduna,Kaduna,"No.15, Umar Mohammed Street, Off Sardauna Crescent",kaduna,Owned,,10.5182899,7.4359863
asset_68485650c6,634,National Industrial Court Of Nigeria,Residential,Enugu,Enugu,"No.6 Lugard Avenue, GRA",Enugu,Owned,,6.4496519,7.5136856
asset_621574dfd3,635,National Industrial Court Of Nigeria,Residential,Enugu,Enugu,"No.43A, Isiuzo Street, Independent layout",Enugu,Owned,,6.4496519,7.5136856
asset_0103cc57d2,636,National Industrial Court Of Nigeria,Residential,Enugu,Enugu,"No.43B, Isiuzo Street, Independent layout",Enugu,Owned,,6.4496519,7.5136856
asset_e156f70f60,637,National Industrial Court Of Nigeria,Residential,Enugu,Enugu,"No.9 Snapp drive, Independent Avenue",Enugu,Owned,,6.4496519,7.5136856
asset_c9d0dddf6c,638,National Industrial Court Of Nigeria,Residential,Plateau,Jos,"Plot 9, Wase Close, GRA",Jos,Owned,,9.9175125,8.8979401
asset_a3f199de73,640,National Industrial Court Of Nigeria,Residential,Plateau,Jos,"No.4 Fan Drive, Jenta Adamu",Jos,Owned,,9.9175125,8.8979401
asset_4f80cb8b7c,641,National Industrial Court Of Nigeria,Residential,Plateau,Jos,"No.10 Utonkon Street, Behind National Library",Jos,Owned,,9.9175125,8.8979401
asset_1a742f9a82,642,National Industrial Court Of Nigeria,Residential,Benue,Makurdi,"No.1, Chombu Atume Crescent, Off Victor Malu Road",Makurdi,Owned,,7.7312634,8.538425
asset_b28f1d80d5,643,National Industrial Court Of Nigeria,Residential,Benue,Makurdi,"No.2, Chombu Atume Crescent, Off Victor Malu Road",Makurdi,Owned,,7.7312634,8.538425
asset_db72015114,644,National Industrial Court Of Nigeria,Residential,Borno,Maiduguri,Old GRA Gambole Road Opposite Command Children School :1,Maiduguri,Owned,,11.8395375,13.1536214
asset_59ef47a733,645,National Industrial Court Of Nigeria,Residential,Borno,Maiduguri,Old GRA Gambole Road Opposite Command Children School :2,Maiduguri,Owned,,11.8395375,13.1536214
asset_33a6320b51,646,National Industrial Court Of Nigeria,Residential,Cross River,Calabar,"A7/2,Kasuk Street, State housing Estate",Calabar,Owned,,4.9795999,8.3373597
asset_3f94650499,647,National Industrial Court Of Nigeria,Residential,Cross River,Calabar,"A7/4,Kasuk Street, State housing Estate",Calabar,Owned,,4.9795999,8.3373597
asset_4648614bcd,648,National Industrial Court Of Nigeria,Residential,Cross River,Calabar,"A7/5,Kasuk Street, State housing Estate",Calabar,Owned,,4.9795999,8.3373597
asset_7616e159ed,649,National Industrial Court Of Nigeria,Residential,Cross River,Calabar,"A7/6,Kasuk Street, State housing Estate",Calabar,Owned,,4.9795999,8.3373597
asset_f8c50133e5,650,National Industrial Court Of Nigeria,Residential,Bayelsa,Yenagoa,"Oxbow Lake,Federal Business District",,Owned,,4.9334651,6.2747786
asset_c0bad05d0f,651,National Industrial Court Of Nigeria,Residential,Sokoto,Sokoto,No.1 Old Commissioners Quarters Bama Road GRA,Sokoto,Owned,,13.0610588,5.2373194
asset_c1a070d0ce,3,FEDERAL MINISTRY OF EDUCATION,Office Building,,,,,,,,
asset_3b289573b0,652,Federal Ministry Of Education HQ,Office Building,Abuja,AMAC,"8th floor, Fed. Sec. complex, garki",,,,9.0552729,7.4662595
asset_58afba2916,653,West African Examination Council (LOCAL),Office Building,Lagos,Lagos mainland,"21, hussey street, yaba.",,,,6.4550575,3.3941795
asset_cf590de9dd,654,West African Examination Council (INTERNATIONAL),Office Building,"Accra, Ghana",,"Accra, Ghana",,,,,
asset_2550c1bf86,655,Universal Basic Education Commission (UBEC),Office Building,"FCT, Abuja",AMAC,"4, Gwani street, wuse zone 4",,,,9.0552729,7.4662595
asset_adc0e0b0a6,656,Teachers Registration Council Of Nigeria,Office Building,"FCT, Abuja",AMAC,"12, oda street, wuse 2",,,,9.0552729,7.4662595
asset_125ea402fb,657,Nomadic Education Commission,Office Building,"FCT, Abuja",AMAC,"829 Ralph Shodeinde St, Central Business District",,,,9.0552729,7.4662595
asset_e7d31ccbf4,658,National Institute For Education Planners And Administration,Office Building,Ondo,Ondo west,"Km 4, Laje Road, LGA, Ondo",,,,,
asset_9fc8769793,659,National Universities Commission Sec,Office Building,"FCT, Abuja",AMAC,"26, Aguiyi Ironsi street. Maitama",,,,9.0552729,7.4662595
asset_c704d14d4c,660,National Teachers Institute,Office Building,Nasarrawa,Karu,"Hospital Street, Karu",,,,,
asset_4e5e3a6e8b,661,National Open University,Office Building,"FCT, Abuja",AMAC,"91, Cadastral Zone, Jabi,",,,,9.0552729,7.4662595
asset_cd6aa619df,662,National Library Of Nigeria,Office Building,"FCT, Abuja",AMAC,"274, 10th Street, CBD",,,,9.0552729,7.4662595
asset_3156d27eae,663,National Examinations Council,Office Building,"FCT, Abuja",Bida,"Km 8, Bida Road,",,,,,
asset_8edaccadf9,664,National Education Research And Development Council,Office Building,"FCT, Abuja",Kwali,"Sheda,Kwali, Sheda",,,,,
asset_f7f1afd6d2,665,National Commission For College Education Secretariat,Office Building,"FCT, Abuja",AMAC,72 Ahmadu Bello Way,,,,9.0552729,7.4662595
asset_e499476337,666,National Business And Technical Education Board,Office Building,Edo,Benin,"No. 1 Benin-Agbor Road, Ikpoba Hill",,,,6.3330586,5.6221058
asset_dc16bc5078,667,Mass Literacy Council,Office Building,"FCT, Abuja",AMAC,"Ladoke Akintola Boulevard, Garki",,,,9.0552729,7.4662595
asset_cabb63b63d,668,Joint Admissions Matriculation Board Headquarters,Office Building,Abuja,Bwari,Suleja Road,,,,9.0643305,7.4892974
asset_9d0f88f311,669,Joint Admissions Matriculation Board Headquarters Annexe/ Laison Office,Office Building,Abuja,AMAC,"2nd Floor, Annexe II, Federal Secretariat Complex, Shehu Shagari Way",,,,9.0552729,7.4662595
asset_012cde8345,670,Joint Admissions Matriculation Board Headquarters Annexe,Office Building,Lagos,Lagos,"11, Ojora Road, Ikoyi",,,,6.4550575,3.3941795
asset_fc0b976a97,671,Joint Admissions Matriculation Board Headquarters Annexe,Office Building,Kaduna,Kaduna,"79, Tafabalewa Way",,,,10.5182899,7.4359863
asset_fe509451f7,674,Joint Admissions Matriculation Board Zonal Office,Office Building,Niger,Minna,Former Federal Ministry Of Information Building,,,,9.6187093,6.5475752
asset_29f0937009,678,Joint Admissions Matriculation Board State Office,Office Building,Yobe,Damaturu,Bukar Abba Ibrahim Way,,,,11.747,11.9608
asset_313546a2cf,679,Joint Admissions Matriculation Board State Office,Office Building,Taraba,Jalingo,"Former Account Department, Teaching Service Board, Old T/C Board Road",,,,8.894985,11.360042
asset_d3b96d5574,680,Joint Admissions Matriculation Board State Office,Office Building,Adamawa,Yola,Former Ministry Of Education,,,,9.2089255,12.4802485
asset_51e3710e37,681,Joint Admissions Matriculation Board State Office,Office Building,Bauchi,Bauchi,"Near Old Motor Park, Gombe Road",Opposite FGGC Staff Quarters,,,10.3168749,9.8410189
asset_368da67b62,682,Joint Admissions Matriculation Board State Office,Office Building,Gombe,Gombe,"Plot 2, Doctor' Quarters. General Buhari Housing Estate. GRA, New Layout",,,,10.2822161,11.1629771
